lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
84758258476902,2022,Lindell-Hakanp,DAL,pairing,5on5,69,48841.0,160.0,0.5,0.47,0.47,370.69,33.02,24.93,91.56,12.79,202.27,148.42,32.17,33.66,32.8,377.0,136.0,202.0,715.0,38.0,35.0,4.0,70.0,10.0,162.0,198.0,339.0,475.0,50.0,109.0,403.0,361.0,98.0,117.0,370.0,110.0,33.0,10.83,13.64,8.54,16.0,15.0,7.0,732.57,513.0,524.64,58.0,5.16,6.89,7.12,31.06,31.74,31.46,424.72,33.5,26.98,106.43,14.06,233.79,173.23,32.49,33.29,32.28,418.0,170.0,221.0,809.0,32.0,31.0,2.0,77.0,8.0,201.0,239.0,386.0,556.0,43.0,93.0,329.0,415.0,82.0,112.0,452.0,108.0,28.0,12.37,13.49,7.64,16.0,12.0,4.0,796.45,588.0,581.8,62.0,5.56,5.69,5.69,33.37,33.21,32.64
84751818476792,2022,Krug-Leddy,STL,pairing,5on5,30,1717.0,286.0,0.43,0.43,0.47,13.02,0.99,0.88,2.89,0.44,7.18,5.62,0.96,1.04,1.01,12.0,6.0,5.0,23.0,2.0,3.0,2.0,3.0,0.0,1.0,9.0,10.0,16.0,0.0,0.0,4.0,8.0,4.0,3.0,14.0,4.0,0.0,0.59,0.4,0.0,1.0,1.0,0.0,23.0,18.0,18.31,1.0,0.18,0.38,0.16,1.01,1.05,1.04,15.29,1.3,1.0,3.48,0.47,7.78,5.97,1.29,1.27,1.27,10.0,10.0,11.0,31.0,1.0,1.0,0.0,4.0,1.0,6.0,7.0,9.0,19.0,4.0,8.0,2.0,9.0,4.0,1.0,15.0,3.0,2.0,0.49,0.31,0.5,0.0,0.0,1.0,31.0,20.0,19.93,1.0,0.21,0.03,0.03,1.47,1.44,1.43
847634684764328479941,2022,Gaudreau-Jenner-Danforth,CBJ,line,5on5,3,894.0,21.0,0.39,0.46,0.5,7.51,0.6,0.46,1.53,0.22,4.12,3.06,0.6,0.58,0.58,7.0,3.0,1.0,11.0,1.0,0.0,0.0,3.0,0.0,1.0,5.0,6.0,9.0,2.0,4.0,12.0,4.0,2.0,0.0,7.0,3.0,0.0,0.31,0.3,0.0,0.0,1.0,0.0,10.43,10.0,9.67,0.0,0.1,0.0,0.0,0.7,0.68,0.67,7.37,0.96,0.52,1.57,0.24,3.84,2.87,0.91,1.0,0.95,6.0,4.0,3.0,13.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,6.0,10.0,3.0,6.0,3.0,3.0,1.0,2.0,5.0,3.0,2.0,0.12,0.33,0.51,0.0,0.0,0.0,13.8,10.0,10.48,1.0,0.11,0.26,0.26,0.81,0.84,0.82
84745638479998,2022,Anderson-Doughty,LAK,pairing,5on5,68,71405.0,73.0,0.53,0.52,0.53,582.5,53.53,38.84,139.58,18.94,314.56,233.54,51.27,54.01,51.75,579.0,220.0,265.0,1064.0,49.0,59.0,7.0,121.0,16.0,262.0,292.0,530.0,750.0,69.0,152.0,623.0,486.0,104.0,161.0,578.0,163.0,58.0,17.29,20.21,16.04,16.0,21.0,12.0,1075.27,799.0,809.74,106.0,8.08,11.98,11.98,49.63,50.03,48.95,515.77,48.3,35.12,124.72,17.13,282.51,206.21,45.43,48.08,45.27,503.0,211.0,256.0,970.0,41.0,54.0,4.0,126.0,16.0,240.0,237.0,462.0,673.0,92.0,194.0,501.0,574.0,123.0,124.0,503.0,164.0,47.0,14.38,20.48,13.44,16.0,18.0,7.0,963.95,714.0,709.47,85.0,7.3,11.16,11.16,44.43,44.48,43.34
847574484768808478440,2022,Strome-Kuznetsov-Wilson,WSH,line,5on5,2,641.0,11.0,0.31,0.67,0.6,4.58,0.1,0.26,1.09,0.14,2.37,2.04,0.1,0.1,0.1,5.0,1.0,2.0,8.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,5.0,6.0,0.0,0.0,2.0,9.0,2.0,1.0,6.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,8.21,6.0,6.23,0.0,0.05,0.0,0.0,0.15,0.15,0.15,2.8,0.22,0.2,0.68,0.1,1.63,1.17,0.22,0.23,0.23,3.0,1.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,4.0,6.0,0.0,0.0,3.0,1.0,0.0,0.12,0.11,0.0,0.0,0.0,0.0,4.01,4.0,3.99,0.0,0.04,0.04,0.04,0.22,0.23,0.23
847410284808138481013,2022,Perron-Veleno-Berggren,DET,line,5on5,16,3662.0,143.0,0.3,0.37,0.34,19.02,1.39,1.26,4.37,0.6,11.5,7.88,1.38,1.46,1.45,17.0,10.0,12.0,39.0,1.0,0.0,0.0,3.0,1.0,12.0,10.0,16.0,26.0,3.0,6.0,19.0,19.0,8.0,6.0,21.0,6.0,0.0,0.7,0.7,0.0,0.0,1.0,0.0,40.74,27.0,28.08,3.0,0.26,0.0,0.0,1.65,1.73,1.71,37.27,3.3,2.3,8.82,1.21,20.28,16.1,3.19,3.13,3.02,36.0,16.0,14.0,66.0,1.0,4.0,1.0,10.0,0.0,14.0,23.0,35.0,51.0,7.0,16.0,26.0,13.0,9.0,8.0,43.0,4.0,5.0,1.44,0.48,1.38,0.0,0.0,1.0,63.02,52.0,49.83,5.0,0.47,1.18,1.18,2.6,2.5,2.47
847951484795438481058,2022,Pezzetta-Pitlick-Ylonen,MTL,line,5on5,2,703.0,8.0,0.33,0.3,0.29,3.96,0.55,0.37,0.84,0.16,2.28,1.79,0.54,0.57,0.55,6.0,0.0,2.0,8.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,5.0,5.0,2.0,4.0,3.0,6.0,1.0,4.0,3.0,3.0,0.0,0.13,0.42,0.0,0.0,1.0,0.0,7.78,6.0,6.1,4.0,0.08,0.17,0.17,0.46,0.46,0.45,10.58,1.11,0.85,2.64,0.34,6.08,3.98,1.09,1.08,1.06,9.0,6.0,4.0,19.0,1.0,1.0,0.0,2.0,0.0,4.0,7.0,8.0,14.0,1.0,2.0,8.0,8.0,1.0,2.0,9.0,5.0,1.0,0.25,0.64,0.23,0.0,1.0,0.0,18.96,15.0,14.56,2.0,0.17,0.04,0.04,1.24,1.21,1.19
847745684784208478542,2022,Rodrigues-Compher-Rantanen,COL,line,5on5,19,7061.0,104.0,0.51,0.46,0.49,66.68,6.64,4.77,14.54,2.14,38.78,27.13,6.29,6.83,6.46,71.0,23.0,20.0,114.0,4.0,5.0,0.0,17.0,7.0,31.0,30.0,67.0,90.0,9.0,18.0,62.0,35.0,11.0,12.0,68.0,18.0,8.0,2.4,2.24,2.01,3.0,1.0,0.0,118.96,94.0,97.2,8.0,0.98,1.25,1.25,6.38,6.54,6.46,72.01,6.47,4.82,17.53,2.34,38.91,28.93,6.12,6.2,5.87,75.0,24.0,35.0,134.0,5.0,8.0,1.0,17.0,0.0,41.0,28.0,70.0,94.0,4.0,8.0,62.0,46.0,22.0,11.0,73.0,18.0,8.0,1.84,2.35,2.28,2.0,2.0,1.0,126.71,99.0,94.42,6.0,1.01,1.71,1.71,5.77,5.51,5.36
847354884759138476905,2022,Stone-Stephenson-Kessel,VGK,line,5on5,4,1195.0,17.0,0.47,0.54,0.6,12.2,0.63,0.78,2.75,0.37,7.85,5.62,0.62,0.62,0.61,13.0,5.0,4.0,22.0,1.0,0.0,0.0,2.0,0.0,10.0,5.0,12.0,17.0,0.0,0.0,14.0,5.0,6.0,5.0,17.0,1.0,0.0,0.51,0.12,0.0,0.0,1.0,0.0,21.32,18.0,17.33,2.0,0.16,0.0,0.0,0.79,0.77,0.76,7.95,0.72,0.59,1.86,0.28,5.1,3.45,0.71,0.73,0.71,9.0,3.0,7.0,19.0,4.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,8.0,2.0,4.0,9.0,5.0,1.0,3.0,8.0,4.0,0.0,0.3,0.42,0.0,1.0,3.0,0.0,19.63,12.0,12.33,3.0,0.12,0.0,0.0,0.84,0.85,0.83
84757908478460,2022,Werenski-Gudbranson,CBJ,pairing,5on5,13,2195.0,83.0,0.42,0.38,0.41,20.37,1.9,1.47,5.24,0.74,10.23,8.42,1.89,1.99,1.98,23.0,5.0,7.0,35.0,4.0,1.0,0.0,6.0,0.0,6.0,11.0,19.0,24.0,1.0,2.0,19.0,11.0,5.0,3.0,20.0,5.0,3.0,0.56,0.72,0.62,0.0,4.0,0.0,35.4,28.0,28.48,0.0,0.31,0.21,0.21,1.99,2.1,2.1,29.01,2.67,2.02,7.31,1.03,16.3,10.67,2.42,2.74,2.48,28.0,12.0,16.0,56.0,2.0,6.0,2.0,6.0,2.0,15.0,9.0,26.0,38.0,2.0,4.0,19.0,11.0,7.0,5.0,32.0,5.0,3.0,0.97,0.7,1.0,1.0,1.0,0.0,55.92,40.0,40.56,2.0,0.42,1.36,1.36,1.73,1.73,1.68
