playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480950,2022,Ilya Lyubushkin,BUF,D,other,53,854.0,18.0,5.65,0.53,0.48,0.23,0.44,0.23,0.42,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,8.0,0.0,10.0,0.0,3.0,5.0,10.0,0.0,0.0,2671.0,0.0,0.0,0.0,3.0,4.52,2.13,2.03,2.13,2.03,5.0,2.0,2.0,9.0,3.0,1.0,0.0,2.0,1.0,4.0,0.06,0.15,1.92,0.0,1.0,2.0,9.0,7.0,7.0,0.07,0.27,0.27,1.93,1.93,1.85,16.32,1.86,1.77,1.86,1.77,17.0,7.0,6.0,30.0,5.0,0.0,0.0,13.0,11.0,0.0,0.66,1.2,0.0,2.0,3.0,0.0,30.0,24.0,24.0,0.41,0.0,0.0,2.27,2.27,2.16,9.26,9.97,59.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,all,53,47202.0,1160.0,10.17,0.38,0.51,0.41,0.54,0.4,0.52,261.0,27.29,1.09,1.36,7.8,0.89,14.76,12.1,1.08,1.08,1.06,5.0,6.0,31.0,7.0,22.0,60.0,13.0,2.0,0.0,0.0,6.0,0.0,15.0,15.0,29.0,36.0,17.0,34.0,0.0,83.0,22.0,12.0,36.0,2.0,0.0,0.81,0.28,0.0,1.0,1.0,0.0,59.39,38.0,37.78,10.0,0.27,0.0,0.02,1.35,1.33,1.31,1160.0,81.0,212.0,172.0,695.0,176.0,152.0,138.0,694.0,0.0,0.0,145491.0,34.0,20.0,10.0,77.0,328.46,32.01,30.43,31.74,30.2,321.0,124.0,157.0,602.0,32.0,37.0,2.0,326.0,86.0,33.0,10.73,11.21,10.07,12.0,14.0,6.0,601.13,445.0,442.43,4.43,8.09,8.09,28.34,28.21,27.77,494.21,53.24,51.1,53.31,51.18,499.0,177.0,179.0,855.0,59.0,49.0,12.0,464.0,154.0,58.0,13.12,18.95,21.17,12.0,19.0,28.0,856.82,676.0,678.51,8.36,10.74,10.45,51.16,51.3,49.61,143.52,139.52,2472.0,2138.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,5on5,53,39928.0,985.0,10.17,0.46,0.48,0.48,0.52,0.46,0.51,270.0,26.53,0.92,1.32,7.72,0.86,14.58,11.59,0.91,0.91,0.89,3.0,6.0,30.0,7.0,22.0,59.0,10.0,1.0,0.0,0.0,6.0,0.0,15.0,15.0,29.0,36.0,15.0,30.0,0.0,69.0,17.0,11.0,36.0,1.0,0.0,0.81,0.11,0.0,1.0,0.0,0.0,58.39,37.0,36.78,9.0,0.26,0.0,0.02,1.16,1.15,1.13,985.0,79.0,126.0,159.0,621.0,170.0,122.0,114.0,579.0,0.0,0.0,118390.0,30.0,16.0,8.0,59.0,304.57,27.36,25.96,27.09,25.73,293.0,120.0,152.0,565.0,26.0,33.0,1.0,311.0,75.0,27.0,10.27,9.61,7.49,12.0,11.0,3.0,564.13,413.0,410.44,4.1,7.0,7.0,24.46,24.33,23.97,350.39,32.59,31.52,32.67,31.61,355.0,124.0,142.0,621.0,29.0,36.0,8.0,340.0,107.0,32.0,9.96,13.47,9.17,9.0,12.0,8.0,622.82,479.0,481.51,4.85,8.07,7.78,29.67,29.81,29.24,89.48,95.69,1910.0,1730.0,4.33,0.3,90.0,8.0,71.0,6.0
8480950,2022,Ilya Lyubushkin,BUF,D,4on5,53,6386.0,154.0,9.0,0.11,0.17,0.12,0.17,0.12,0.19,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,1.0,78.0,13.0,62.0,6.0,27.0,19.0,102.0,0.0,0.0,6128.0,4.0,0.0,0.0,0.0,17.93,2.29,2.2,2.29,2.2,22.0,1.0,3.0,26.0,2.0,3.0,1.0,12.0,9.0,2.0,0.33,1.28,0.67,0.0,1.0,1.0,26.0,23.0,23.0,0.22,0.82,0.82,1.69,1.69,1.69,121.56,17.82,17.05,17.82,17.05,121.0,44.0,29.0,194.0,24.0,13.0,4.0,107.0,33.0,25.0,2.45,3.93,11.45,1.0,4.0,19.0,194.0,165.0,165.0,2.96,2.67,2.67,18.11,18.11,17.35,2.71,13.12,37.0,178.0,0.85,0.0,9.0,1.0,7.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,5on4,53,34.0,3.0,-1.07,0.0,0.79,0.0,0.84,0.0,0.8,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1755.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.01,0.01,0.01,0.01,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.01,0.01,0.01,4.26,1.16,57.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8475227,2022,Chris Wideman,MTL,D,other,36,198.0,5.0,1.48,0.04,0.46,0.33,0.64,0.33,0.63,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,1206.0,0.0,0.0,0.0,0.0,1.36,0.05,0.05,0.05,0.05,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.03,0.0,0.0,0.08,0.08,0.08,2.66,1.21,1.21,1.21,1.21,2.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,0.02,0.1,1.09,0.0,0.0,1.0,4.0,4.0,4.0,0.03,0.0,0.0,1.24,1.24,1.24,6.21,7.43,47.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
8475227,2022,Chris Wideman,MTL,D,all,36,29226.0,641.0,4.83,0.44,0.41,0.51,0.42,0.49,0.42,199.0,25.8,0.75,1.5,7.29,0.94,16.26,12.25,0.73,0.73,0.71,3.0,3.0,27.0,12.0,21.0,60.0,6.0,0.0,2.0,0.0,9.0,0.0,9.0,19.0,27.0,39.0,17.0,45.0,0.0,17.0,4.0,30.0,39.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,58.02,39.0,37.83,27.0,0.31,0.06,0.04,1.02,0.99,0.97,641.0,103.0,41.0,112.0,385.0,65.0,109.0,63.0,404.0,0.0,0.0,101798.0,45.0,17.0,7.0,45.0,245.68,20.38,19.82,20.07,19.53,253.0,89.0,139.0,481.0,25.0,23.0,6.0,260.0,64.0,18.0,7.19,8.07,5.12,7.0,10.0,8.0,470.24,342.0,336.4,3.66,3.27,3.27,20.77,20.54,20.23,257.42,25.65,24.46,26.12,24.94,265.0,86.0,120.0,471.0,21.0,32.0,4.0,246.0,73.0,32.0,7.53,9.41,8.7,3.0,11.0,7.0,485.93,351.0,358.79,3.75,6.68,6.68,22.71,23.26,22.98,77.75,112.88,1372.0,1861.0,0.0,0.0,0.0,0.0,0.0,0.0
8475227,2022,Chris Wideman,MTL,D,5on5,36,25797.0,576.0,4.83,0.41,0.45,0.47,0.45,0.47,0.45,201.0,24.53,0.7,1.37,7.02,0.9,15.23,11.77,0.69,0.68,0.66,2.0,2.0,26.0,11.0,17.0,54.0,4.0,0.0,2.0,0.0,9.0,0.0,8.0,18.0,26.0,37.0,15.0,41.0,0.0,17.0,4.0,28.0,37.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,52.02,37.0,35.83,27.0,0.28,0.06,0.04,0.94,0.91,0.89,576.0,80.0,41.0,104.0,351.0,59.0,103.0,55.0,359.0,0.0,0.0,79384.0,41.0,17.0,7.0,45.0,207.36,16.31,15.93,16.01,15.65,210.0,80.0,115.0,405.0,23.0,18.0,6.0,224.0,53.0,13.0,6.1,6.93,3.27,7.0,10.0,6.0,394.24,290.0,284.4,2.74,2.84,2.84,16.21,15.99,15.82,243.75,23.19,22.02,23.67,22.51,251.0,80.0,120.0,451.0,19.0,31.0,4.0,234.0,69.0,28.0,7.28,8.91,7.0,3.0,11.0,5.0,465.93,331.0,338.79,3.57,6.32,6.32,20.44,20.99,20.7,53.23,64.22,1072.0,1331.0,1.99,0.09,38.0,6.0,27.0,4.0
8475227,2022,Chris Wideman,MTL,D,4on5,36,6.0,2.0,-0.12,0.0,0.01,0.0,0.06,0.0,0.07,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.98,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8475227,2022,Chris Wideman,MTL,D,5on4,36,3225.0,58.0,5.25,0.76,0.77,0.82,0.83,0.76,0.8,41.0,1.27,0.05,0.13,0.27,0.04,1.04,0.48,0.05,0.05,0.05,1.0,1.0,1.0,1.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.03,0.0,0.0,0.08,0.08,0.08,58.0,22.0,0.0,6.0,30.0,5.0,4.0,7.0,42.0,0.0,0.0,5348.0,4.0,0.0,0.0,0.0,36.96,4.02,3.83,4.02,3.83,41.0,9.0,24.0,74.0,2.0,5.0,0.0,34.0,11.0,5.0,1.03,1.14,1.85,0.0,0.0,2.0,74.0,50.0,50.0,0.89,0.42,0.42,4.48,4.48,4.33,11.01,1.24,1.23,1.24,1.23,12.0,4.0,0.0,16.0,1.0,1.0,0.0,11.0,3.0,2.0,0.23,0.4,0.61,0.0,0.0,1.0,16.0,16.0,16.0,0.15,0.36,0.36,1.03,1.03,1.03,8.23,2.42,116.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
