team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
ARI,2022,ARI,ARI,Team Level,other,69,0.38,0.4,0.37,8073.0,97.21,22.84,6.39,16.78,3.25,50.21,33.53,21.64,22.84,21.64,93.0,40.0,52.0,185.0,23.0,11.0,2.0,14.0,3.0,45.0,37.0,70.0,110.0,6.0,12.0,87.0,30.0,20.0,22.0,63.0,36.0,34.0,2.69,4.71,15.45,2.0,4.0,17.0,185.0,133.0,133.0,7.0,1.85,2.88,2.88,21.81,21.81,21.31,163.95,37.19,12.62,28.04,5.39,88.25,54.49,34.13,37.19,34.13,154.0,72.0,49.0,275.0,26.0,19.0,6.0,25.0,4.0,82.0,70.0,128.0,200.0,2.0,4.0,113.0,35.0,19.0,16.0,103.0,73.0,50.0,4.58,9.34,23.27,2.0,11.0,13.0,275.0,226.0,226.0,7.0,3.77,7.75,7.75,33.22,33.22,31.18
ARI,2022,ARI,ARI,Team Level,all,69,0.42,0.43,0.42,251999.0,1812.1,189.82,128.23,407.57,58.98,994.66,718.75,180.64,189.07,179.88,1783.0,715.0,833.0,3331.0,192.0,157.0,23.0,362.0,45.0,821.0,921.0,1591.0,2306.0,291.0,657.0,1788.0,1781.0,404.0,672.0,1754.0,540.0,204.0,53.26,65.79,70.76,59.0,65.0,68.0,3290.62,2498.0,2479.47,369.0,28.35,32.35,32.35,185.83,184.89,178.99,2487.43,263.85,180.06,566.24,81.97,1380.63,969.26,249.26,266.29,251.57,2476.0,966.0,1047.0,4489.0,239.0,229.0,39.0,534.0,80.0,1201.0,1159.0,2237.0,3203.0,246.0,569.0,2119.0,1581.0,443.0,552.0,2403.0,775.0,264.0,74.08,96.74,93.03,75.0,92.0,72.0,4557.0,3442.0,3479.75,253.0,40.63,48.34,48.4,256.09,258.31,248.91
ARI,2022,ARI,ARI,Team Level,5on5,69,0.44,0.44,0.44,199541.0,1424.96,127.69,96.56,335.48,46.45,783.57,577.25,123.52,126.94,122.77,1392.0,575.0,673.0,2640.0,127.0,117.0,19.0,296.0,37.0,643.0,747.0,1265.0,1840.0,260.0,597.0,1364.0,1656.0,334.0,560.0,1427.0,423.0,117.0,43.69,51.51,32.49,50.0,49.0,28.0,2599.62,1967.0,1948.47,325.0,19.99,23.79,24.07,123.61,122.66,120.62,1822.28,163.95,123.54,435.69,59.58,999.94,738.29,157.83,166.39,160.14,1831.0,690.0,803.0,3324.0,151.0,158.0,26.0,428.0,62.0,850.0,872.0,1680.0,2370.0,224.0,525.0,1589.0,1462.0,368.0,470.0,1819.0,556.0,146.0,55.9,69.46,38.59,60.0,62.0,29.0,3392.0,2521.0,2558.75,232.0,25.66,30.77,30.83,158.79,161.01,157.84
ARI,2022,ARI,ARI,Team Level,4on5,69,0.09,0.08,0.09,24783.0,47.08,5.56,2.51,6.76,1.46,14.45,32.26,5.46,5.56,5.46,54.0,9.0,7.0,70.0,5.0,4.0,0.0,1.0,0.0,7.0,46.0,49.0,58.0,8.0,16.0,181.0,72.0,43.0,34.0,36.0,18.0,9.0,1.06,2.1,2.4,1.0,3.0,1.0,70.0,63.0,63.0,30.0,0.56,1.15,1.15,4.98,4.98,4.94,454.99,56.98,41.02,95.41,15.43,276.73,145.42,51.73,56.98,51.73,438.0,193.0,180.0,811.0,60.0,51.0,6.0,76.0,13.0,259.0,172.0,378.0,571.0,14.0,28.0,260.0,31.0,15.0,51.0,442.0,128.0,61.0,12.17,15.8,29.01,13.0,19.0,28.0,811.0,631.0,631.0,2.0,10.54,9.24,9.24,58.28,58.28,54.15
ARI,2022,ARI,ARI,Team Level,5on4,69,0.85,0.85,0.84,19602.0,242.85,33.73,22.78,48.56,7.81,146.42,75.71,30.02,33.73,30.02,244.0,91.0,101.0,436.0,37.0,25.0,2.0,51.0,5.0,126.0,91.0,207.0,298.0,17.0,32.0,156.0,23.0,7.0,56.0,228.0,63.0,44.0,5.83,7.48,20.43,6.0,9.0,22.0,436.0,335.0,335.0,7.0,5.94,4.54,4.25,35.43,35.43,32.12,46.21,5.73,2.87,7.08,1.57,15.7,31.05,5.59,5.73,5.59,53.0,11.0,15.0,79.0,2.0,1.0,1.0,5.0,1.0,10.0,45.0,51.0,62.0,6.0,12.0,157.0,53.0,41.0,15.0,39.0,18.0,7.0,1.42,2.15,2.16,0.0,0.0,2.0,79.0,64.0,64.0,12.0,0.65,0.58,0.58,5.8,5.8,5.74
CGY,2022,CGY,CGY,Team Level,other,69,0.48,0.49,0.49,8407.0,113.41,25.22,7.55,20.09,3.66,59.9,42.59,23.21,25.22,23.21,110.0,49.0,54.0,213.0,16.0,6.0,0.0,21.0,5.0,51.0,60.0,94.0,143.0,14.0,32.0,102.0,36.0,22.0,21.0,81.0,44.0,34.0,3.22,5.31,16.69,2.0,4.0,10.0,213.0,159.0,159.0,12.0,2.17,1.87,1.87,25.52,25.52,24.03,123.75,27.82,8.71,21.07,3.99,62.91,42.5,26.17,27.82,26.17,122.0,45.0,51.0,218.0,29.0,12.0,6.0,17.0,5.0,54.0,50.0,93.0,138.0,4.0,8.0,119.0,24.0,17.0,23.0,72.0,57.0,38.0,2.96,7.23,17.63,5.0,7.0,17.0,218.0,167.0,167.0,9.0,2.61,3.95,3.95,26.48,26.48,25.23
CGY,2022,CGY,CGY,Team Level,all,69,0.53,0.57,0.56,252024.0,2466.98,230.39,167.05,578.89,82.47,1355.73,1008.48,221.92,231.83,223.33,2455.0,968.0,1174.0,4597.0,214.0,230.0,33.0,586.0,55.0,985.0,1353.0,2241.0,3209.0,274.0,615.0,2144.0,1684.0,542.0,613.0,2558.0,625.0,240.0,71.08,76.89,82.42,67.0,79.0,68.0,4637.71,3423.0,3448.83,313.0,36.89,46.79,46.79,220.49,221.85,217.25,1945.75,203.16,133.74,443.87,63.79,1044.1,773.35,195.14,203.22,195.21,1876.0,786.0,871.0,3533.0,207.0,172.0,25.0,452.0,85.0,756.0,990.0,1669.0,2455.0,258.0,573.0,2081.0,1495.0,554.0,719.0,1869.0,583.0,210.0,56.86,72.62,73.68,73.0,71.0,63.0,3524.06,2662.0,2660.81,390.0,29.88,35.45,35.51,197.52,197.6,193.36
CGY,2022,CGY,CGY,Team Level,5on5,69,0.54,0.57,0.57,200563.0,1923.79,157.52,123.2,472.71,64.34,1052.29,789.95,152.36,158.97,153.77,1901.0,759.0,940.0,3600.0,149.0,184.0,25.0,481.0,39.0,743.0,1064.0,1752.0,2511.0,238.0,539.0,1631.0,1539.0,431.0,506.0,2036.0,472.0,152.0,57.32,58.18,42.02,60.0,63.0,26.0,3640.71,2660.0,2685.83,263.0,25.38,34.92,34.92,147.98,149.34,147.17,1476.75,132.03,97.11,355.63,48.76,791.78,600.68,127.79,132.1,127.87,1415.0,611.0,682.0,2708.0,136.0,134.0,17.0,354.0,65.0,569.0,768.0,1279.0,1890.0,235.0,527.0,1580.0,1377.0,472.0,590.0,1490.0,411.0,125.0,45.62,51.55,34.87,61.0,49.0,26.0,2699.06,2026.0,2024.81,341.0,20.12,25.68,25.99,126.17,126.24,124.51
CGY,2022,CGY,CGY,Team Level,4on5,69,0.21,0.22,0.25,22269.0,97.69,9.92,5.22,14.03,3.21,32.45,69.17,9.66,9.92,9.66,105.0,29.0,16.0,150.0,8.0,3.0,0.0,12.0,2.0,17.0,92.0,97.0,126.0,8.0,16.0,200.0,79.0,61.0,40.0,96.0,28.0,10.0,2.8,3.55,3.58,1.0,4.0,3.0,150.0,134.0,134.0,36.0,1.19,0.9,0.9,10.21,10.21,10.15,290.26,37.78,25.24,59.81,9.41,173.07,91.7,35.84,37.78,35.84,276.0,121.0,121.0,518.0,37.0,21.0,2.0,74.0,14.0,124.0,127.0,239.0,360.0,8.0,16.0,210.0,27.0,18.0,70.0,259.0,97.0,41.0,6.79,11.53,19.44,7.0,10.0,20.0,518.0,397.0,397.0,8.0,6.53,4.38,4.13,40.18,40.18,38.95
CGY,2022,CGY,CGY,Team Level,5on4,69,0.87,0.88,0.87,20785.0,332.1,37.73,31.08,72.05,11.27,211.1,106.77,36.69,37.73,36.69,339.0,131.0,164.0,634.0,41.0,37.0,8.0,72.0,9.0,174.0,137.0,298.0,429.0,14.0,28.0,211.0,30.0,28.0,46.0,345.0,81.0,44.0,7.75,9.85,20.13,4.0,8.0,29.0,634.0,470.0,470.0,2.0,8.15,9.1,9.1,36.78,36.78,35.9,54.98,5.53,2.67,7.37,1.63,16.33,38.47,5.33,5.53,5.33,63.0,9.0,17.0,89.0,5.0,5.0,0.0,7.0,1.0,9.0,45.0,58.0,67.0,11.0,22.0,172.0,67.0,47.0,36.0,48.0,18.0,6.0,1.49,2.3,1.74,0.0,5.0,0.0,89.0,72.0,72.0,32.0,0.62,1.44,1.44,4.71,4.71,4.68
